apartment_name,region_name,legal_dong,jibun,road_name,deal_type,deal_year,deal_month,deal_day,deal_amount,area,floor,longitude,latitude,coordinate_source,coordinates_wkt
대주,서구,,,,매매,,,,,,,126.8619901,35.13768782,apt_master_info,POINT(126.8619901 35.13768782)
수완센트럴시티서희스타힐스,광산구,,,,전세,,,,,,,127.07029,37.56897463,apt_master_info,POINT(127.07029 37.56897463)
2차한양아파트,송파구,,,,매매,,,,,,,127.1160871,37.5049565,apt_master_info,POINT(127.1160871 37.5049565)
강창삼산1,달성군,,,,매매,,,,,,,128.4583041,35.86150365,apt_master_info,POINT(128.4583041 35.86150365)
경남,연제구,,,,월세,,,,,,,129.0734593,35.18623929,apt_master_info,POINT(129.0734593 35.18623929)
삼진하트빌,남구,,,,매매,,,,,,,126.9019156,35.14373116,apt_master_info,POINT(126.9019156 35.14373116)
서면유림노르웨이숲,부산진구,,,,매매,,,,,,,129.0576578,35.14979713,apt_master_info,POINT(129.0576578 35.14979713)
큰솔6차101동,중구,,,,매매,,,,,,,127.4338663,36.3416049,apt_master_info,POINT(127.4338663 36.3416049)
제일풍경채 프라임,달성군,,,,매매,,,,,,,126.968397,37.52110023,apt_master_info,POINT(126.968397 37.52110023)
도시타워,남구,,,,매매,,,,,,,129.1086858,35.11139267,apt_master_info,POINT(129.1086858 35.11139267)
당산한양,영등포구,,,,월세,,,,,,,127.0910668,37.53130984,apt_master_info,POINT(127.0910668 37.53130984)
동서변월드메르디앙,북구,,,,매매,,,,,,,128.5977931,35.91824793,apt_master_info,POINT(128.5977931 35.91824793)
산호,서구,,,,매매,,,,,,,126.9504151,37.53255305,apt_master_info,POINT(126.9504151 37.53255305)
제일,북구,,,,매매,,,,,,,128.5867356,35.88855224,apt_master_info,POINT(128.5867356 35.88855224)
화원동화아이위시,달성군,,,,매매,,,,,,,127.0532144,37.58966135,apt_master_info,POINT(127.0532144 37.58966135)
삼부컨비니언,성북구,,,,매매,,,,,,,127.0933241,37.59787895,apt_master_info,POINT(127.0933241 37.59787895)
중곡2단지,광진구,,,,매매,,,,,,,127.0784206,37.56678987,apt_master_info,POINT(127.0784206 37.56678987)
산격청구2,북구,,,,매매,,,,,,,128.6023439,35.89064936,apt_master_info,POINT(128.6023439 35.89064936)
대곡이오스,달서구,,,,매매,,,,,,,128.5152752,35.80851438,apt_master_info,POINT(128.5152752 35.80851438)
서대구센트럴자이,서구,,,,매매,,,,,,,128.5733242,35.88684413,apt_master_info,POINT(128.5733242 35.88684413)
신천주공2,동구,,,,매매,,,,,,,128.6137902,35.87243834,apt_master_info,POINT(128.6137902 35.87243834)
방배3차e-편한세상,서초구,,,,월세,,,,,,,127.0291351,37.50673779,apt_master_info,POINT(127.0291351 37.50673779)
대봉태왕아너스,중구,,,,매매,,,,,,,128.6029474,35.85970679,apt_master_info,POINT(128.6029474 35.85970679)
장미(466-0),마포구,,,,매매,,,,,,,126.9189559,37.54621536,apt_master_info,POINT(126.9189559 37.54621536)
각산서한이다음,동구,,,,매매,,,,,,,127.0055328,37.55052331,apt_master_info,POINT(127.0055328 37.55052331)
장림대동맨션,사하구,,,,매매,,,,,,,128.9775315,35.07674766,apt_master_info,POINT(128.9775315 35.07674766)
백양푸른채,부산진구,,,,월세,,,,,,,129.0267609,35.17218026,apt_master_info,POINT(129.0267609 35.17218026)
연지자이2차,부산진구,,,,월세,,,,,,,129.047632,35.17242788,apt_master_info,POINT(129.047632 35.17242788)
논현센트럴뷰,남동구,,,,매매,,,,,,,127.0822667,37.67183957,apt_master_info,POINT(127.0822667 37.67183957)
구월힐스테이트1단지,남동구,,,,매매,,,,,,,126.7121801,37.45509593,apt_master_info,POINT(126.7121801 37.45509593)
세경미가,연제구,,,,매매,,,,,,,129.0715903,35.18236644,apt_master_info,POINT(129.0715903 35.18236644)
