아파트명,시,구,동,도로명주소,건축년도,세대수,거래유형,매매최저가(만원),매매최고가(만원),매매건수,전세최저가(만원),전세최고가(만원),전세건수,월세최저가(만원),월세최고가(만원),월세건수,최소면적(㎡),최대면적(㎡),거리(m),위도,경도
한솔,서울,강남구,청담동,서울 강남구 청담동,1998,263,"매매,전세,월세",185000.0,230000.0,4.0,69500.0,130000.0,13.0,60.0,420.0,33.0,79.05,114.73,920.8029678429,37.517557,127.045833
청담e-편한세상1차,서울,강남구,청담동,서울 강남구 청담동,2002,271,"매매,전세,월세",234000.0,300000.0,26.0,90000.0,100000.0,8.0,210.0,250.0,12.0,101.41,140.52,943.0863422963,37.520659,127.047856
골든아트빌(주상복합),서울,강남구,청담동,서울 강남구 청담동,2000,19,매매,210000.0,235000.0,3.0,,,,,,,173.52,173.52,950.6629160869,37.519941,127.047006
롯데캐슬프레미어,서울,강남구,청담동,서울 강남구 청담동,2007,713,"매매,전세,월세",317000.0,600000.0,90.0,119000.0,300000.0,40.0,160.0,600.0,9.0,106.93,239.42,958.5383692585,37.515662,127.0449
청담e-편한세상3차,서울,강남구,청담동,서울 강남구 청담동,2007,49,"매매,전세,월세",228000.0,235000.0,58.0,110000.0,110000.0,7.0,260.0,260.0,6.0,89.48,89.48,984.6264665472,37.518596,127.045575
현대타워(주상복합),서울,강남구,삼성동,서울 강남구 삼성동,1998,30,"매매,전세,월세",250000.0,300000.0,6.0,150000.0,150000.0,5.0,230.0,500.0,8.0,187.05,187.05,986.9153656598,37.506249,127.053118
청담범신칼릭스빌3차,서울,강남구,청담동,서울 강남구 청담동,2011,12,"매매,월세",120000.0,120000.0,5.0,,,,300.0,350.0,2.0,55.81,55.81,994.4927450827,37.522229,127.049228
현대,서울,강남구,청담동,서울 강남구 청담동,1999,198,"매매,전세,월세",129000.0,330000.0,9.0,47000.0,80000.0,16.0,230.0,230.0,4.0,45.92,144.33,995.7040372554,37.516841,127.044704
한신오페라하우스2차,서울,강남구,청담동,서울 강남구 청담동,2005,42,"매매,전세,월세",280000.0,350000.0,4.0,139000.0,140000.0,9.0,280.0,280.0,4.0,140.91,177.62,998.8173671558,37.518993,127.045638
석탑,서울,강남구,청담동,서울 강남구 청담동,1996,139,"전세,월세",,,,71000.0,73000.0,10.0,260.0,260.0,2.0,80.92,81.43,1001.8943018706,37.517572,127.044875
청담e-편한세상4차,서울,강남구,청담동,서울 강남구 청담동,2011,94,"매매,전세,월세",249000.0,360000.0,51.0,114000.0,180000.0,14.0,80.0,500.0,7.0,107.21,160.85,1004.6220649458,37.520634,127.046907
한신오페라하우스,서울,강남구,청담동,서울 강남구 청담동,2003,63,"매매,전세",275000.0,320000.0,8.0,129000.0,145000.0,20.0,,,,135.77,160.24,1007.2489462691,37.519236,127.045691
삼성한양립스(주상복합),서울,강남구,삼성동,서울 강남구 삼성동,2022,28,"매매,월세",68000.0,80000.0,15.0,,,,240.0,250.0,8.0,43.5,43.5,1015.4888263778,37.506294,127.0518
삼환,서울,강남구,청담동,서울 강남구 청담동,1999,184,"매매,전세,월세",150000.0,265000.0,3.0,41000.0,119000.0,14.0,220.0,260.0,15.0,73.64,148.99,1020.056827829,37.5215,127.04767
"선릉LG에클라트(A동,주상복합)",서울,강남구,삼성동,서울 강남구 삼성동,2003,125,"매매,전세,월세",33000.0,36000.0,5.0,30000.0,30000.0,1.0,50.0,170.0,2.0,45.07,45.07,1022.6755665731,37.506572,127.05075
삼성디뷰더센트럴(도시형),서울,강남구,삼성동,서울 강남구 삼성동,2023,27,월세,,,,,,,260.0,360.0,7.0,39.99,50.07,1031.0385079174,37.506081,127.052035
테헤란로대우아이빌(주상복합),서울,강남구,삼성동,서울 강남구 삼성동,2004,371,"매매,전세,월세",34000.0,130000.0,17.0,31500.0,65000.0,17.0,88.0,200.0,4.0,38.72,79.83,1033.4836758203,37.505663,127.054222
우정에쉐르,서울,강남구,청담동,서울 강남구 청담동,2003,40,전세,,,,115000.0,115000.0,2.0,,,,151.46,151.46,1040.7466699394,37.51718,127.044281
삼성씨엘케이,서울,강남구,청담동,서울 강남구 청담동,2002,12,매매,239000.0,239000.0,2.0,,,,,,,99.47,99.47,1043.9056670655,37.517541,127.044367
현대(43-1),서울,강남구,청담동,서울 강남구 청담동,1992,19,"매매,전세",265000.0,265000.0,4.0,120000.0,125000.0,4.0,,,,166.51,166.51,1054.9420533254,37.518399,127.044605
청담디에브스,서울,강남구,청담동,서울 강남구 청담동,2017,18,"매매,전세,월세",100000.0,155000.0,9.0,50000.0,75000.0,6.0,450.0,450.0,1.0,106.03,152.31,1056.6887325115,37.522862,127.049146
"선릉LG에클라트(B동,주상복합)",서울,강남구,삼성동,서울 강남구 삼성동,2004,293,"매매,전세,월세",34000.0,85000.0,53.0,55000.0,55000.0,2.0,120.0,200.0,2.0,47.44,63.71,1064.3970402546,37.506096,127.050926
삼성월드타워,서울,강남구,청담동,서울 강남구 청담동,1997,46,"매매,전세,월세",132000.0,205000.0,5.0,75000.0,100000.0,7.0,290.0,370.0,7.0,66.98,96.55,1067.2954369193,37.517457,127.044062
청담e-편한세상2차(205동),서울,강남구,청담동,서울 강남구 청담동,2006,41,"매매,전세",265000.0,265000.0,2.0,115000.0,125000.0,4.0,,,,144.98,144.98,1070.1216379222,37.520844,127.046169
청담영풍마드레빌,서울,강남구,청담동,서울 강남구 청담동,2003,49,매매,230000.0,270000.0,9.0,,,,,,,103.93,147.24,1084.054887594,37.519156,127.044663
청담우방,서울,강남구,청담동,서울 강남구 청담동,1999,100,"매매,전세,월세",199500.0,217000.0,9.0,89000.0,120000.0,23.0,120.0,300.0,6.0,83.51,83.51,1084.4161126033,37.518025,127.044078
롯데캐슬,서울,강남구,삼성동,서울 강남구 삼성동,2002,142,"매매,월세",249000.0,370000.0,17.0,,,,230.0,400.0,4.0,110.72,176.16,1089.6461697299,37.505115,127.056706
대치대우아이빌명문가(주상복합),서울,강남구,삼성동,서울 강남구 삼성동,2004,210,"매매,전세,월세",28000.0,52000.0,11.0,26000.0,27400.0,7.0,50.0,50.0,1.0,41.88,58.56,1095.0701157237,37.505138,127.053901
우성,서울,강남구,청담동,서울 강남구 청담동,2005,25,매매,135000.0,185000.0,31.0,,,,,,,97.01,131.09,1096.7497183346,37.521804,127.046824
래미안삼성2차,서울,강남구,청담동,서울 강남구 청담동,2007,275,"매매,전세,월세",334000.0,650000.0,39.0,129500.0,140000.0,21.0,60.0,720.0,8.0,136.24,226.39,1102.8288626794,37.515991,127.043301
청담e-편한세상2차(204동),서울,강남구,청담동,서울 강남구 청담동,2005,41,"매매,전세,월세",240000.0,270000.0,77.0,130000.0,130000.0,1.0,420.0,420.0,1.0,118.64,128.68,1140.5350932609,37.5207,127.04505
청담e-편한세상2차,서울,강남구,청담동,서울 강남구 청담동,2006,142,"매매,전세,월세",250000.0,270000.0,19.0,95000.0,110000.0,22.0,75.0,410.0,12.0,124.11,138.19,1163.2277892134,37.521414,127.045392
서광,서울,강남구,청담동,서울 강남구 청담동,1998,304,"매매,전세,월세",260000.0,260000.0,1.0,93500.0,105000.0,22.0,140.0,390.0,57.0,104.43,104.43,1172.7283949314,37.517041,127.04271
브라운스톤레전드(주상복합),서울,강남구,청담동,서울 강남구 청담동,2009,54,매매,600000.0,700000.0,6.0,,,,,,,257.94,257.94,1187.2096839329,37.515451,127.042289
하우스에딘브로우,서울,강남구,청담동,서울 강남구 청담동,2004,16,전세,,,,200000.0,200000.0,8.0,,,,183.11,183.11,1196.5294727737,37.520385,127.044048
포스코더샵,서울,강남구,대치동,서울 강남구 대치동,2004,276,"매매,전세",399000.0,500000.0,19.0,190000.0,230000.0,9.0,,,,168.38,208.98,1206.8328511542,37.504102,127.057307
청담삼성3차,서울,강남구,청담동,서울 강남구 청담동,1999,217,"매매,전세,월세",250000.0,580000.0,25.0,90000.0,140000.0,25.0,120.0,240.0,4.0,107.6,163.55,1212.46077143,37.518121,127.042595
청담클래스(도시형),서울,강남구,청담동,서울 강남구 청담동,2019,16,전세,,,,45000.0,47000.0,3.0,,,,35.74,35.74,1225.6394591353,37.521095,127.044223
청담스테이,서울,강남구,청담동,서울 강남구 청담동,2018,16,"매매,전세,월세",60000.0,66000.0,7.0,46000.0,47250.0,3.0,170.0,250.0,4.0,30.54,32.55,1277.3518237296,37.519189,127.042292
논현더라움,서울,강남구,청담동,서울 강남구 청담동,2019,16,매매,55000.0,55000.0,1.0,,,,,,,33.86,33.86,1282.47947583,37.515216,127.041199
청담휴먼스타빌,서울,강남구,청담동,서울 강남구 청담동,2005,191,"매매,전세,월세",81000.0,110000.0,23.0,42000.0,250000.0,2.0,170.0,1500.0,26.0,48.42,53.87,1300.7421619051,37.523772,127.046086
메트로,서울,강남구,대치동,서울 강남구 대치동,2002,11,매매,107000.0,110000.0,2.0,,,,,,,91.84,91.84,1321.2426978634,37.502997,127.055466
미소시티,서울,강남구,대치동,서울 강남구 대치동,2006,18,매매,280000.0,280000.0,2.0,,,,,,,200.9,200.9,1364.6519555852,37.502617,127.056398
강남파라곤(주상복합),서울,강남구,청담동,서울 강남구 청담동,2007,58,"매매,전세",165000.0,290000.0,33.0,95000.0,97000.0,6.0,,,,100.88,143.68,1388.9647120883,37.516614,127.040137
대치푸르지오써밋,서울,강남구,대치동,서울 강남구 대치동,2023,489,"매매,전세,월세",300000.0,520000.0,34.0,109000.0,300000.0,142.0,10.0,680.0,202.0,77.65,148.99,1441.3809172246,37.502438,127.060288
현대2차,서울,강남구,청담동,서울 강남구 청담동,1988,214,"매매,전세,월세",220000.0,253000.0,16.0,69500.0,85000.0,6.0,150.0,320.0,36.0,97.75,97.9,1514.243729996,37.521593,127.040774
동궁빌리지,서울,강남구,청담동,서울 강남구 청담동,1993,16,"전세,월세",,,,165000.0,165000.0,1.0,650.0,650.0,7.0,147.77,147.77,1525.603446341,37.524325,127.043138
대치주성,서울,강남구,대치동,서울 강남구 대치동,2004,14,매매,160000.0,180000.0,7.0,,,,,,,73.97,92.4,1525.6627363811,37.50161,127.060109
스카이써밋,서울,강남구,대치동,서울 강남구 대치동,2004,10,매매,165000.0,165000.0,13.0,,,,,,,131.56,131.56,1545.3951604573,37.501137,127.058351
대치현대,서울,강남구,대치동,서울 강남구 대치동,1999,630,"매매,전세,월세",260000.0,380000.0,15.0,60000.0,155000.0,59.0,40.0,320.0,33.0,88.68,143.66,1624.0540182398,37.500906,127.061068
세연파크뷰,서울,강남구,대치동,서울 강남구 대치동,2002,19,매매,175000.0,210000.0,6.0,,,,,,,81.31,94.53,1656.7509776572,37.500147,127.058556
