아파트명,시,구,동,도로명주소,건축년도,세대수,거래유형,매매최저가(만원),매매최고가(만원),매매건수,전세최저가(만원),전세최고가(만원),전세건수,월세최저가(만원),월세최고가(만원),월세건수,최소면적(㎡),최대면적(㎡),거리(m),위도,경도
휴먼터치빌(주상복합),서울,강남구,논현동,서울 강남구 논현동,1999,160,월세,,,,,,,120.0,180.0,2.0,37.85,52.4,2135.2530494261,37.506607,127.033908
대치SK뷰,서울,강남구,대치동,서울 강남구 대치동,2017,239,"매매,전세,월세",430000.0,600000.0,18.0,149000.0,260000.0,98.0,40.0,750.0,79.0,110.89,145.94,2140.6908001972,37.495967,127.060322
도산포도더블랙(도시형),서울,강남구,압구정동,서울 강남구 압구정동,2024,26,"매매,전세",217000.0,225000.0,5.0,110000.0,310000.0,19.0,,,,66.49,66.57,2150.8251847521,37.52059,127.032443
도산포도더블랙(주상복합),서울,강남구,압구정동,서울 강남구 압구정동,2024,1,전세,,,,130000.0,310000.0,4.0,,,,142.91,142.91,2154.8884837951,37.520585,127.032393
논현프라임(192-3),서울,강남구,논현동,서울 강남구 논현동,2004,19,전세,,,,95000.0,95000.0,1.0,,,,144.68,144.68,2155.5363889876,37.508157,127.032836
삼성빌라트,서울,서초구,잠원동,서울 서초구 잠원동,1998,19,매매,140000.0,150000.0,2.0,,,,,,,132.14,144.59,2159.6247909174,37.516543,127.031359
"학동역이안테라디움(민간임대,도시형)",서울,강남구,논현동,서울 강남구 논현동,2022,54,월세,,,,,,,173.0,192.0,2.0,37.5,37.92,2167.3560020248,37.513824,127.031222
압구정하이츠파크,서울,강남구,압구정동,서울 강남구 압구정동,2004,86,매매,650000.0,1300000.0,11.0,,,,,,,234.38,338.23,2183.6795849426,37.523842,127.033697
역삼칼라,서울,강남구,역삼동,서울 강남구 역삼동,2002,19,"매매,월세",67000.0,67000.0,3.0,,,,100.0,100.0,8.0,78.63,78.63,2203.4549173626,37.504611,127.034386
기린힐스(도시형),서울,강남구,논현동,서울 강남구 논현동,2020,249,월세,,,,,,,104.0,104.0,1.0,28.13,28.13,2203.4631812807,37.512999,127.030891
한양럭스,서울,강남구,역삼동,서울 강남구 역삼동,2003,18,"매매,월세",45000.0,55000.0,2.0,,,,130.0,295.0,5.0,62.31,66.98,2208.5646228921,37.50427,127.034583
프라임(80-13),서울,서초구,잠원동,서울 서초구 잠원동,2004,28,"매매,전세,월세",120000.0,155000.0,4.0,80000.0,85000.0,2.0,320.0,450.0,5.0,93.51,124.68,2222.422583233,37.51623,127.030617
베르사이유,서울,강남구,역삼동,서울 강남구 역삼동,2003,16,매매,185000.0,187000.0,7.0,,,,,,,127.76,127.76,2234.3427828114,37.499391,127.039588
현대썬앤빌(도시형),서울,강남구,압구정동,서울 강남구 압구정동,2015,47,월세,,,,,,,85.0,85.0,1.0,27.74,27.74,2259.1130781638,37.52112,127.031368
금광아크존(주상복합),서울,강남구,압구정동,서울 강남구 압구정동,2004,39,"매매,월세",76000.0,140000.0,5.0,,,,200.0,220.0,2.0,67.75,86.38,2271.3094981532,37.526553,127.034579
N168(도시형),서울,강남구,논현동,서울 강남구 논현동,2021,132,월세,,,,,,,101.0,101.0,1.0,32.23,32.23,2320.71029026,37.513061,127.029552
논현한화꿈에그린2차,서울,강남구,논현동,서울 강남구 논현동,2006,46,"매매,전세",152000.0,260000.0,3.0,100000.0,100000.0,14.0,,,,133.16,147.31,2345.31478001,37.50757,127.03082
논현한화꿈에그린,서울,강남구,논현동,서울 강남구 논현동,2005,70,"매매,전세,월세",124000.0,135000.0,27.0,69000.0,69500.0,4.0,300.0,320.0,8.0,89.17,89.17,2364.5632817976,37.50705,127.030837
이산,서울,강남구,논현동,서울 강남구 논현동,2011,11,"매매,전세,월세",65000.0,65000.0,2.0,40000.0,40000.0,5.0,180.0,220.0,7.0,68.5,68.5,2368.1976641707,37.507194,127.030722
마일스디오빌(주상복합),서울,강남구,논현동,서울 강남구 논현동,2004,260,"매매,전세,월세",37000.0,45000.0,18.0,32500.0,32500.0,1.0,75.0,145.0,17.0,47.19,47.19,2370.7833550587,37.51379,127.02892
루시아도산208(도시형),서울,강남구,신사동,서울 강남구 신사동,2023,55,"매매,전세,월세",110000.0,160000.0,17.0,62000.0,70000.0,22.0,50.0,500.0,38.0,57.63,60.66,2379.2690960392,37.519658,127.029458
대명벨리온(도시형),서울,강남구,역삼동,서울 강남구 역삼동,2012,71,"매매,전세,월세",20000.0,26000.0,3.0,21000.0,27000.0,2.0,45.0,45.0,1.0,27.18,46.69,2381.3029916611,37.497964,127.039165
진흥아마란스,서울,강남구,압구정동,서울 강남구 압구정동,2005,17,매매,290000.0,290000.0,2.0,,,,,,,197.77,197.77,2387.9681282857,37.523703,127.031052
로얄빌리지,서울,강남구,역삼동,서울 강남구 역삼동,2002,19,매매,65000.0,129000.0,3.0,,,,,,,81.7,151.85,2390.400228035,37.501494,127.03454
압구정KCC,서울,강남구,압구정동,서울 강남구 압구정동,2004,27,매매,280000.0,280000.0,1.0,,,,,,,127.36,127.36,2402.4884031095,37.526148,127.03248
요진와이시티미니(도시형),서울,강남구,역삼동,서울 강남구 역삼동,2012,91,"매매,전세,월세",18000.0,18000.0,4.0,18000.0,18000.0,1.0,21.0,35.0,3.0,24.6,24.6,2411.2329823765,37.497559,127.039272
리갈팰리스,서울,강남구,압구정동,서울 강남구 압구정동,2007,15,매매,270000.0,350000.0,2.0,,,,,,,190.67,275.45,2420.3064070702,37.523691,127.030645
역삼프리마빌,서울,강남구,역삼동,서울 강남구 역삼동,2003,19,"매매,월세",110000.0,170000.0,3.0,,,,200.0,200.0,1.0,103.09,211.72,2423.6287725021,37.497344,127.039399
토미,서울,강남구,신사동,서울 강남구 신사동,2004,13,"매매,전세",120000.0,170000.0,4.0,65000.0,65000.0,3.0,,,,99.95,102.68,2424.7933881762,37.522252,127.029871
신성,서울,강남구,압구정동,서울 강남구 압구정동,1996,55,"매매,전세,월세",170000.0,240000.0,3.0,70000.0,100000.0,5.0,160.0,160.0,1.0,77.96,106.65,2461.2441082778,37.526377,127.031877
신사아크존2,서울,강남구,압구정동,서울 강남구 압구정동,2005,14,매매,250000.0,320000.0,7.0,,,,,,,105.52,146.53,2468.2640992345,37.524782,127.030687
화이트빌,서울,강남구,신사동,서울 강남구 신사동,2003,12,전세,,,,80000.0,80000.0,1.0,,,,97.32,97.32,2475.421202998,37.521804,127.029074
갤러리하우스,서울,강남구,도곡동,서울 강남구 도곡동,2002,17,"매매,전세",115000.0,115000.0,2.0,75000.0,75000.0,1.0,,,,93.82,93.82,2501.6083977138,37.494531,127.043586
비쥬힐,서울,강남구,논현동,서울 강남구 논현동,2003,10,"매매,전세,월세",106000.0,135000.0,2.0,75000.0,90000.0,2.0,100.0,310.0,4.0,87.53,117.65,2504.9604119844,37.514834,127.027366
논현e-편한세상,서울,강남구,논현동,서울 강남구 논현동,2005,63,"매매,전세",135000.0,180000.0,6.0,80000.0,80000.0,1.0,,,,109.11,142.43,2515.193428731,37.506748,127.029156
공간쉐르빌,서울,강남구,도곡동,서울 강남구 도곡동,2003,17,매매,58000.0,58000.0,1.0,,,,,,,50.79,50.79,2531.4256647715,37.494233,127.043589
논현아테나니케,서울,강남구,신사동,서울 강남구 신사동,2004,12,"전세,월세",,,,124000.0,124000.0,1.0,300.0,300.0,8.0,127.92,127.92,2537.519096319,37.515026,127.026998
로얄팰리스,서울,강남구,역삼동,서울 강남구 역삼동,2003,15,매매,200000.0,300000.0,2.0,,,,,,,144.21,152.45,2565.2154811737,37.502664,127.031086
현대맨션,서울,강남구,압구정동,서울 강남구 압구정동,1980,126,"매매,전세,월세",500000.0,750000.0,6.0,130000.0,200000.0,14.0,240.0,450.0,8.0,147.01,213.88,2569.6954670704,37.525034,127.029564
브라이튼N40,서울,강남구,논현동,서울 강남구 논현동,2022,148,"매매,전세,월세",379600.0,1100000.0,40.0,210000.0,300000.0,19.0,150.0,2000.0,19.0,102.1,209.59,2574.5201047691,37.514362,127.026587
프라임(196-4),서울,강남구,논현동,서울 강남구 논현동,2006,19,매매,190000.0,200000.0,3.0,,,,,,,135.45,135.45,2582.0212167146,37.506589,127.028423
"논현팰리스(민간임대,도시형)",서울,강남구,논현동,서울 강남구 논현동,2019,39,전세,,,,33600.0,33750.0,3.0,,,,28.5,30.71,2585.0512843629,37.507057,127.028169
동원스위트뷰역삼,서울,강남구,역삼동,서울 강남구 역삼동,2017,28,"매매,월세",120000.0,150000.0,3.0,,,,350.0,400.0,6.0,84.46,93.16,2587.4509339593,37.496877,127.037138
역삼우성,서울,강남구,역삼동,서울 강남구 역삼동,2005,12,"매매,전세",180000.0,180000.0,1.0,73000.0,90000.0,3.0,,,,123.63,123.63,2594.0284240842,37.502061,127.031184
더클래스(도시형),서울,강남구,역삼동,서울 강남구 역삼동,2022,14,전세,,,,45000.0,45000.0,1.0,,,,37.33,37.33,2596.5001972077,37.497197,127.036502
베스젠빌,서울,강남구,역삼동,서울 강남구 역삼동,2003,19,월세,,,,,,,500.0,500.0,2.0,135.37,135.37,2604.6348180739,37.502794,127.030463
스톤엘리시온역삼,서울,강남구,역삼동,서울 강남구 역삼동,2021,19,매매,43500.0,60000.0,3.0,,,,,,,26.14,39.71,2622.7946063844,37.495214,127.03929
프리우스역삼2차,서울,강남구,역삼동,서울 강남구 역삼동,2006,18,매매,125000.0,150000.0,6.0,,,,,,,96.51,96.51,2629.707953275,37.501365,127.031288
프리우스역삼1차,서울,강남구,역삼동,서울 강남구 역삼동,2006,9,"매매,전세",145000.0,145000.0,1.0,70000.0,70000.0,1.0,,,,104.21,104.21,2650.5850671737,37.501366,127.031
거평프리젠,서울,강남구,논현동,서울 강남구 논현동,1996,113,"매매,전세,월세",36000.0,56000.0,13.0,23000.0,35000.0,6.0,50.0,160.0,7.0,41.83,54.05,2651.9086360708,37.506376,127.027679
신사파크빌,서울,강남구,신사동,서울 강남구 신사동,2004,28,월세,,,,,,,100.0,100.0,3.0,146.45,146.45,2655.9721970818,37.520494,127.026489
조이너스,서울,강남구,역삼동,서울 강남구 역삼동,2006,28,매매,125000.0,160000.0,3.0,,,,,,,74.34,106.43,2658.6206794794,37.495939,127.037325
역삼브라운스톤,서울,강남구,역삼동,서울 강남구 역삼동,2004,48,"전세,월세",,,,65000.0,65000.0,1.0,250.0,265.0,7.0,76.67,76.67,2660.0413796944,37.495601,127.037861
월드쉐르빌,서울,강남구,논현동,서울 강남구 논현동,2003,15,매매,105000.0,105000.0,4.0,,,,,,,99.48,99.48,2667.2372120801,37.510284,127.026093
포스틸빌라트,서울,강남구,역삼동,서울 강남구 역삼동,2004,12,월세,,,,,,,160.0,209.0,2.0,65.6,65.6,2671.9571951941,37.497335,127.035034
강남역이스턴(도시형),서울,강남구,역삼동,서울 강남구 역삼동,2014,98,"매매,전세,월세",18000.0,20000.0,4.0,16000.0,16000.0,1.0,70.0,85.0,5.0,23.0,23.0,2672.4355869056,37.498557,127.033503
도곡아이파크1차,서울,강남구,도곡동,서울 강남구 도곡동,2007,321,"매매,전세,월세",320000.0,374000.0,46.0,120000.0,150000.0,62.0,100.0,600.0,18.0,160.67,178.59,2720.7464899763,37.492403,127.043477
"강남IBC(민간임대,도시형)",서울,강남구,역삼동,서울 강남구 역삼동,1987,137,월세,,,,,,,97.0,150.0,2.0,38.8,43.21,2743.5456241537,37.499817,127.031116
강남역우정에쉐르(주상복합),서울,강남구,역삼동,서울 강남구 역삼동,2004,52,"매매,전세,월세",21000.0,21000.0,1.0,17600.0,18600.0,2.0,90.0,90.0,1.0,23.63,23.63,2762.2104928741,37.498457,127.032249
역삼EG소울리더(도시형),서울,강남구,역삼동,서울 강남구 역삼동,2012,99,"매매,월세",18000.0,37000.0,19.0,,,,10.0,110.0,4.0,21.13,42.95,2775.2849509892,37.497152,127.033589
뜨라네(828-76),서울,강남구,역삼동,서울 강남구 역삼동,2005,18,"매매,전세",115000.0,115000.0,1.0,54000.0,54000.0,3.0,,,,97.25,97.25,2785.4653854058,37.497454,127.033053
뜨라네(828-21),서울,강남구,역삼동,서울 강남구 역삼동,2005,15,매매,80000.0,80000.0,2.0,,,,,,,69.14,69.14,2790.9299005682,37.497543,127.03286
정원,서울,강남구,역삼동,서울 강남구 역삼동,2004,19,매매,135000.0,135000.0,4.0,,,,,,,109.32,109.32,2802.1867363155,37.496544,127.03394
청림쉐르빌,서울,강남구,신사동,서울 강남구 신사동,2004,11,매매,100000.0,100000.0,2.0,,,,,,,93.49,93.49,2804.7472533065,37.520647,127.024805
대성아트빌,서울,강남구,신사동,서울 강남구 신사동,2002,19,매매,87000.0,120000.0,7.0,,,,,,,81.1,93.31,2820.5101973199,37.519583,127.024342
우리집(도시형),서울,강남구,역삼동,서울 강남구 역삼동,2016,16,매매,35000.0,35000.0,1.0,,,,,,,29.72,29.72,2845.0614454979,37.4954,127.034814
예지인,서울,강남구,역삼동,서울 강남구 역삼동,2008,14,매매,95000.0,120000.0,4.0,,,,,,,76.36,97.33,2869.23482386,37.496391,127.033045
삼익,서울,강남구,도곡동,서울 강남구 도곡동,1983,247,"매매,전세,월세",250000.0,260000.0,26.0,85000.0,100000.0,30.0,190.0,190.0,15.0,113.73,113.73,2902.9011366407,37.491024,127.042296
대우디오빌플러스(주상복합),서울,강남구,역삼동,서울 강남구 역삼동,2004,168,"매매,전세",31000.0,46000.0,9.0,25000.0,27000.0,7.0,,,,46.72,59.69,2915.1004096702,37.497456,127.031052
매봉,서울,강남구,도곡동,서울 강남구 도곡동,1999,132,매매,180000.0,200000.0,25.0,,,,,,,100.61,100.61,2919.1371693407,37.489193,127.04872
하얏트빌,서울,강남구,신사동,서울 강남구 신사동,2005,15,매매,94000.0,100000.0,6.0,,,,,,,73.74,80.52,2920.7792657685,37.521824,127.023825
우찬,서울,강남구,신사동,서울 강남구 신사동,2004,19,매매,43000.0,43000.0,2.0,,,,,,,25.04,25.04,2981.8035214655,37.523707,127.023834
뉴현대,서울,강남구,신사동,서울 강남구 신사동,2004,10,매매,157000.0,160000.0,30.0,,,,,,,129.27,129.27,2984.6158665242,37.523553,127.023734
